08-12-2023 18:57:30.194 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
08-12-2023 18:57:31.722 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
08-12-2023 18:57:33.251 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
08-12-2023 18:57:33.272 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
08-12-2023 18:57:33.319 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
08-12-2023 18:57:33.322 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler.info - Starting...
08-12-2023 18:57:33.327 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler.info - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@176bc91d]]
08-12-2023 18:57:33.327 [restartedMain] INFO  o.s.m.s.b.SimpleBrokerMessageHandler.info - Started.
08-12-2023 18:57:33.347 [restartedMain] INFO  com.wipro.vamos.VamosApplication.logStarted - Started VamosApplication in 16.403 seconds (process running for 17.653)
